en,ja
# 0,# 0
Year,年
day,日
department,部
moon,月
big,大
Book,本
one,一
out,出
outside,外
Note,注
middle,中
people,人
foot,脚
eye,目
country,国
Seki,関
even,連
OK,行
back,後
name,名
born,生
hour,時
superior,上
combine,合
generation,代
same,同
meeting,会
become,成
land,地
Departure,発
study,学
field,場
now,現
high,高
stand,立
long,長
Writer,者
between,間
Place,所
open,開
child,子
enter,入
case,事
do,作
point,分
arts,文
host,主
exist,在
Inside,内
History,歴
Down,下
East,東
new,新
forward,前
item,項
Pass,通
male,公
city,市
Certainly,定
want,要
Ginseng,参
first time,初
No.,第
Complete,全
since,自
hand,手
Company,社
use,用
Industry,業
thing,物
by,以
when,当
word,語
Small,小
surface,表
move,動
remember,記
most,最
of,的
Mode,式
direction,方
field,田
Home,家
Mountain,山
and,和
body,体
Body,身
prefecture,県
reason,理
bright,明
set up,設
change,化
Expect,期
Come,来
Temperament,経
road,道
world,世
Yuan,元
Test,考
flat,平
river,川
fruit,実
many,多
look,見
times,回
add,加
field,野
versus,対
War,戦
Original,原
special,特
north,北
three,三
number,数
painting,画
Bit,位
by,受
degree,度
Dictionary,典
Britain,英
history,史
common,共
Book,書
Knot,結
West,西
live,活
Service,務
just,正
sex,性
Pick,取
Beijing,京
select,選
Place,置
system,制
Overview,概
member,員
rule,治
two,二
Know,知
he,他
set,集
beginning,始
edge,際
Group,組
Edited,編
Product,品
Continued,続
force,力
Law,法
have,有
Number,号
offer,献
make,使
another,別
wait,等
hold,持
With,付
Second-rate,次
machine,機
female,女
close,近
refer to,指
point,点
sea,海
All,都
school,校
island,島
No.,番
Genus,属
No,不
boundary,界
district,区
gold,金
say,称
Record,録
Heavy,重
teach,教
South,南
pay,交
Enter,進
noodle,面
strange,変
end,終
water,水
Heart,心
tree,木
shape,形
have to,得
about,約
god,神
village,村
List,覧
Towards,向
able,能
Wide,広
Save,保
mouth,口
town,町
meaning,意
untie,解
profit,利
shift,移
Word,言
air,気
civil,民
letter,信
Again,再
excellent,優
Role,役
Politics,政
version,版
Wire,線
Newspaper,報
play,演
Total,総
Depend on,由
Revenue,収
state,州
Sell,売
straight,直
base,基
fruit,果
Mr.,様
none,無
Group,団
change,改
male,男
lead,引
put,放
flow,流
few,少
sky,天
deliver,送
live,存
easy,楽
Door,門
Mutually,相
theory,説
install,安
luck,運
often,常
Decision,決
call,呼
Structure,構
Scholar,士
too,太
beautiful,美
appoint,任
tower,台
count,計
system,系
First,先
Transfer,転
antiquity,古
righteous,義
sound,音
work,工
well,井
Production,産
technique,術
Affection,情
hospital,院
Transmission,伝
grid,格
end,止
Museum,館
rise,起
question,題
retreat,退
make,造
real,真
Victory,勝
drop,降
branch,支
week,周
Light,光
stone,石
division,科
Deng,登
match,配
tune,調
each,各
like,愛
shop,屋
Education,育
Pass,過
Shi,施
Wisteria,藤
die,死
car,車
Bureau,局
System,統
research,研
Zhao,昭
Can,可
soil,土
domain,域
powerful,強
Cooperation,協
Condition,状
road,路
Business,営
Half,半
life,命
null,空
reflect,映
go,去
Technique,技
establish,建
song,曲
Lang,郎
hill,岡
loose,松
Type,型
Made,製
Preparation,備
king,王
kind,種
Rights,権
story,話
palace,宮
recognize,認
build,修
Show,示
live,住
Fee,料
Wear,著
Contains,含
Research,究
limit,限
Da,達
Response,応
taste,味
shadow,影
valley,谷
morning,朝
catch,接
good,良
Wu,武
white,白
Wear,着
military,軍
alone,独
and,及
give,予
Leave,離
Character,字
division,師
ask,問
garden,園
Discussion,議
Ten thousand,万
over,完
Supervisor,監
Prefecture,府
Both,両
different,異
cut,切
blessing,福
read,念
electricity,電
Funding,資
Song,歌
Tie,係
Even,更
Successor,継
shop,店
Old,旧
iron,鉄
Graduate,卒
slightly,略
parent,親
Residual,残
head,頭
Included,込
Allow,容
door,戸
discipline,紀
now,今
wind,風
single,単
View,観
Special,専
ten,十
burden,担
End,末
award,賞
complex,復
figure,図
side,側
Zuo,佐
city,城
Tube,管
Creation,創
and,与
feet,足
leaf,葉
bridge,橋
husband,夫
green,青
opposite,反
River,江
age,歳
for,供
fall,落
between,介
Four,四
carry,提
tribe,族
guide,導
room,室
county,郡
Side,辺
Ferry,渡
thousand,千
kind,類
state,態
exhibition,展
Saki,崎
lucky,吉
official,官
think,思
Ride,乗
regulation,規
father,父
crowd,衆
Got it,了
load,載
he,彼
Enterprise,企
Argument,論
urge,催
General,般
help,助
river,河
along,沿
good,好
Bo,博
try,試
Inspection,査
Long,久
Increase,増
Chase,追
manage,司
business,商
color,色
Comment,評
Job,職
ring,響
foreign,洋
leather,革
Process,程
Description,述
Yes,確
Central,央
Return,帰
allow,準
Service,仕
example,例
Follow,従
mother,母
spring,春
horse,馬
pieces,件
Supervisor,督
not yet,未
