en,ch
# 0,# 0
exist,在
he,他
three,三
eat,吃
Yuan,元
like,爱
beat,打
make,使
Ten thousand,万
Should,该
head,头
Ah,阿
ten,十
Disaster,难
department,部
male,男
try,试
city,市
division,师
South,南
poetry,诗
generation,代
civil,民
Tea,茶
bitter,苦
Card,牌
history,史
Mr.,氏
sand,沙
Scholar,士
case,案
white,素
dark,暗
Race,赛
cast,投
sigh,叹
See,视
dust,埃
Thai,泰
burden,负
Prefecture,府
woman,妇
state,态
Publication,刊
fetal,胎
idiot,痴
greedy,贪
Fu,赋
symbol,符
young,幼
yarn,纱
Service,仕
Kou,寇
phlegm,痰
Overview,概
temples,鬓
Convenience,便
water,水
quick,快
part,段
head,首
Mountain,山
Calculate,算
bright,明
Mode,式
Soup,汤
acid,酸
knowledge,识
cut,斩
have,有
big,大
Four,四
die,死
No.,第
because,因
vice,副
mouth,口
horse,马
root,根
blessing,福
print,印
width,幅
Clothes,服
transport,运
Negative,阴
Search,索
cool,酷
I,私
excellent,优
drink,饮
kinky,淫
cover,覆
Yin,尹
heir,嗣
long,长
few,少
god,神
morning,朝
overtake,超
room,室
List,陈
lose,失
brush,刷
steel,钢
Seedling,苗
bran,糠
one,一
want,要
Again,再
Walk,走
talent,才
Place,所
road,道
point,分
Book,书
five,五
flower,花
Door,门
outside,外
to,至
Half,半
talk,谈
Eye,眼
Test,考
version,版
gold,金
class,班
host,主
Bag,包
vegetable,菜
over,完
common,共
meal,饭
certain,某
easy,易
opposite,反
Row,排
group,群
back,背
Know,知
change,改
meaning,意
tree,木
turn,翻
feeling,感
military,军
want,欲
No.,番
plate,盘
you,君
hair,毛
world,世
Chinese,汉
double,倍
field,田
Note,注
Product,品
watt,瓦
offender,犯
catty,斤
silver,银
soft,软
Residence,居
cold,寒
load,载
rule,治
crime,罪
tribe,族
Fast,速
bother,烦
Company,社
bag,袋
sweat,汗
eye,目
pieces,枚
Qin,琴
Harmful,害
warm,暖
plum,梅
Yu,宇
Sun,孙
Ash,灰
poison,毒
Zhu,朱
fiscal,财
concentrated,浓
inch,寸
different,异
Momentum,势
branch,枝
Min,敏
shoot,射
Judgement,判
ditch,沟
cowry,贝
inn,宿
defeat,败
