en,ja
# 0,# 0
exist,在
he,他
three,三
eat,吃
Yuan,元
like,愛
beat,打
make,使
Ten thousand,萬
Should,該
head,頭
Ah,阿
ten,十
Disaster,難
department,部
male,男
try,試
city,市
division,師
South,南
poetry,詩
generation,代
civil,民
Tea,茶
bitter,苦
Card,牌
history,史
Mr.,氏
sand,沙
Scholar,士
case,案
white,素
dark,暗
Race,賽
cast,投
sigh,嘆
See,視
dust,埃
Thai,泰
burden,負
Prefecture,府
woman,婦
state,態
Publication,刊
fetal,胎
idiot,痴
greedy,貪
Fu,賦
symbol,符
young,幼
yarn,紗
Service,仕
Kou,寇
phlegm,痰
Overview,概
temples,鬢
Convenience,便
water,水
quick,快
part,段
head,首
Mountain,山
Calculate,算
bright,明
Mode,式
Soup,湯
acid,酸
knowledge,識
cut,斬
have,有
big,大
Four,四
die,死
No.,第
because,因
vice,副
mouth,口
horse,馬
root,根
blessing,福
print,印
width,幅
Clothes,服
transport,運
Negative,陰
Search,索
cool,酷
I,私
excellent,優
drink,飲
kinky,淫
cover,覆
Yin,尹
heir,嗣
long,長
few,少
god,神
morning,朝
overtake,超
room,室
List,陳
lose,失
brush,刷
steel,鋼
Seedling,苗
bran,糠
one,一
want,要
Again,再
Walk,走
talent,才
Place,所
road,道
point,分
Book,書
five,五
flower,花
Door,門
outside,外
to,至
Half,半
talk,談
Eye,眼
Test,考
version,版
gold,金
class,班
host,主
Bag,包
vegetable,菜
over,完
common,共
meal,飯
certain,某
easy,易
opposite,反
Row,排
group,群
back,背
Know,知
change,改
meaning,意
tree,木
turn,翻
feeling,感
military,軍
want,欲
No.,番
plate,盤
you,君
hair,毛
world,世
Chinese,漢
double,倍
field,田
Note,注
Product,品
watt,瓦
offender,犯
catty,斤
silver,銀
soft,軟
Residence,居
cold,寒
load,載
rule,治
crime,罪
tribe,族
Fast,速
bother,煩
Company,社
bag,袋
sweat,汗
eye,目
pieces,枚
Qin,琴
Harmful,害
warm,暖
plum,梅
Yu,宇
Sun,孫
Ash,灰
poison,毒
Zhu,朱
fiscal,財
concentrated,濃
inch,寸
different,異
Momentum,勢
branch,枝
Min,敏
shoot,射
Judgement,判
ditch,溝
cowry,貝
inn,宿
