en,ja
# 0,
sub-,亜
allocate,宛
push open,挨
love,愛
not clear,曖
plan,案
storm,嵐
pressure,圧
handle,扱
old woman,婆
double,倍
obeisance,陪
mediator,媒
compensation,賠
vague,漠
explode,爆
nightfall,晩
one's turn,番
barbarian,蛮
tray,盤
fell,伐
clique,閥
valve,弁
exertion,勉
delicate,微
cleverness,敏
flower pot,瓶
register,簿
crude,朴
harmonious,睦
me,僕
slap,撲
mediocre,凡
basin,盆
drown,没
rise,勃
boy,坊
obese,肪
so-and-so,某
divide,剖
cap,帽
rod,棒
trade,貿
appearance,貌
part,部
second (part of time),秒
legitimate wife,嫡
stupid,痴
immature,稚
fine (not coarse),緻
livestock,畜
pursue,逐
majestic plural,朕
exhibit,陳
fare,賃
regularity,秩
plug up,窒
savings,貯
imperial order,勅
make progress,捗
government office,庁
account book,帳
intestines,腸
indications,徴
mid-air,宙
loyalty,忠
pluck,抽
inmost,衷
sake,酎
stop-over,駐
gentle,妥
degenerate,堕
lazy,惰
burdensome,駄
ordinal number prefix,第
topic,題
consent,諾
group,団
steps,段
discuss,談
podium,壇
who (question word),誰
electricity,電
guy,奴
poison,毒
bowl of food,丼
trunk,胴
public chamber,堂
copper,銅
england,英
defense,衛
epidemic,疫
benefit,益
fluid,液
station,駅
banquet,宴
princess,媛
aid,援
perform,演
ecstasy,悦
audience,謁
review,閲
aid,扶
urban prefecture,府
mound,阜
affixed,附
obituary,訃
lady,婦
token,符
universal,普
skin,膚
levy,賦
musical score,譜
clothes,服
vice,副
again,復
luck,福
duplicate,複
atmosphere,雰
tomb,墳
congratulations,賀
gracious,雅
starve,餓
censure,劾
harm,害
horizon,涯
rue,慨
above-stated,該
outline,概
dead remains,骸
trifle with,玩
stubborn,頑
art,芸
drama,劇
mysterious,玄
gunwale,舷
best regards,宜
righteousness,義
ceremony,儀
mimic,擬
sacrifice,犠
deliberation,議
versify,吟
silver,銀
noon,午
give,呉
recreation,娯
Go,碁
safeguard,護
prison,獄
number,号
torture,拷
sturdy,剛
be proud,傲
overpowering,豪
tool,具
dread,惧
army,軍
county,郡
accidentally,偶
interview,遇
grasp,把
sect,派
hegemony,覇
bowl,鉢
texture,肌
lungs,肺
haiku,俳
repudiate,排
comrade,輩
box,箱
chief,伯
clap,拍
liner,舶
