en,ja
# sugar,# kō
mouth,口
work,工
male,公
hook,勾
hole,孔
achievement,功
skillful,巧
Wide,広
First,甲
pay,交
Light,光
Towards,向
back,后
good,好
River,江
Test,考
OK,行
pit,坑
filial piety,孝
anti-,抗
attack,攻
Even,更
Effective,効
fortunate,幸
arrest,拘
Ken,肯
back,後
Hou,侯
Thickness,厚
Heng,恒
flood,洪
Emperor,皇
red,紅
shortage,荒
Suburbs,郊
fragrant,香
Hou,候
school,校
ploughing,耕
Air,航
tribute,貢
drop,降
high,高
Kang,康
control,控
stem,梗
yellow,黄
throat,喉
panic,慌
port,港
hard,硬
twist,絞
item,項
ditch,溝
mine,鉱
Structure,構
Outline,綱
yeast,酵
draft,稿
prosper,興
Heng,衡
steel,鋼
speak,講
purchase,購
# sho,# shō
Small,小
Lift,升
few,少
Summon,召
just,正
born,生
Takumi,匠
floor,床
copy,抄
resemble,肖
still,尚
trick,招
Cheng,承
Noboru,昇
loose,松
Swamp,沼
surname,姓
sex,性
Zhao,昭
Province,省
Mutually,相
night,宵
Will,将
remove,消
disease,症
Xiang,祥
say,称
lol,笑
Sing,唱
business,商
Wataru,渉
chapter,章
Shao,紹
Litigation,訟
Victory,勝
Palm,掌
crystal,晶
Grilled,焼
burnt,焦
saltpeter,硝
makeup,粧
edict,詔
proof,証
elephant,象
Pack,装
scratch,傷
Recommended,奨
According to,照
detailed,詳
Akira,彰
barrier,障
unsettled,憧
rush,衝
award,賞
Compensation,償
reef,礁
bell,鐘
# it,# shi
Scholar,士
child,子
branch,支
end,止
Mr.,氏
Service,仕
history,史
manage,司
Four,四
city,市
arrow,矢
Show,示
purpose,旨
die,死
thread,糸
to,至
Second-rate,次
since,自
wait,伺
ambition,志
I,私
make,使
prick,刺
beginning,始
sister,姉
branch,枝
Welfare,祉
Limbs,肢
figure,姿
think,思
refer to,指
Shi,施
division,師
wanton,恣
paper,紙
fat,脂
See,視
Purple,紫
word,詞
teeth,歯
heir,嗣
try,試
poetry,詩
Funding,資
feed,飼
magazine,誌
female,雌
sincere,摯
Give,賜
Consultation,諮
# can,# kan
Dry,干
Publication,刊
sweet,甘
First,甲
sweat,汗
can,缶
over,完
liver,肝
official,官
crown,冠
Volume,巻
look,看
recessed,陥
Dry,乾
intuition,勘
Suffer from,患
Guan,貫
cold,寒
Summon,喚
Kan,堪
Change,換
dare,敢
coffin,棺
payment,款
between,間
idle,閑
Recommended,勧
Hiroshi,寛
Dry,幹
feeling,感
Chinese,漢
used,慣
Tube,管
Seki,関
Joy,歓
Supervisor,監
slow,緩
regret,憾
return,還
Museum,館
ring,環
simple,簡
View,観
Korea,韓
ship,艦
Jian,鑑
# to,# ki
Self,己
tree,木
born,生
Enterprise,企
trick,伎
Danger,危
machine,机
air,気
Qi,岐
Nozomi,希
avoid,忌
steam,汽
strange,奇
pray,祈
season,季
discipline,紀
rail,軌
now that,既
remember,記
rise,起
hungry,飢
ghost,鬼
Return,帰
base,基
send,寄
regulation,規
turtle,亀
yellow,黄
happiness,喜
Several,幾
wave,揮
Expect,期
chess,棋
expensive,貴
abandoned,棄
destroy,毀
flag,旗
Device,器
Capital,畿
Shine,輝
machine,機
ride,騎
# your,# tō
knife,刀
winter,冬
lamp,灯
when,当
cast,投
beans,豆
East,東
arrive,到
escape,逃
fall,倒
freeze,凍
Tang,唐
island,島
peach,桃
discuss,討
through,透
party,党
mourning,悼
thief,盗
pottery,陶
tower,塔
take,搭
Dong,棟
Soup,湯
smallpox,痘
Deng,登
answer,答
wait,等
cylinder,筒
System,統
rice,稲
tread,踏
sugar,糖
head,頭
Transcription,謄
Wisteria,藤
Fight,闘
Teng,騰
# sō,# sō
pair,双
strong,壮
morning,早
Fight,争
Walk,走
Zong,宗
Kanade,奏
Mutually,相
Villa,荘
Grass,草
deliver,送
warehouse,倉
Search,捜
Insert,挿
mulberry,桑
nest,巣
sweep,掃
Cao,曹
So,曽
Cool,爽
window,窓
Creation,創
funeral,喪
Thin,痩
burial,葬
Pack,装
monk,僧
think,想
layer,層
Total,総
suffered,遭
groove,槽
trace,踪
Hold,操
dry,燥
frost,霜
Noisy,騒
Algae,藻
# the,# ka
Down,下
change,化
fire,火
day,日
add,加
Can,可
tentative,仮
what,何
flower,花
good,佳
Price,価
fruit,果
river,河
Harsh,苛
division,科
shelf,架
fragrant,香
summer,夏
Home,家
load,荷
magnificent,華
mosquito,蚊
Confectionery,菓
goods,貨
vortex,渦
Pass,過
wife,嫁
free time,暇
disaster,禍
shoes,靴
widowed,寡
Song,歌
This,箇
Earning,稼
class,課
# be,# sei
well,井
world,世
just,正
born,生
become,成
West,西
voice,声
system,制
surname,姓
Sign,征
sex,性
green,青
Hitoshi,斉
Politics,政
star,星
Sacrifice,牲
Province,省
back,背
Amazing,凄
Passing away,逝
clear,清
Sheng,盛
son-in-law,婿
clear,晴
Momentum,勢
Saint,聖
Sincerity,誠
Refined,精
Made,製
oath,誓
quiet,静
please,請
all,整
Awake,醒
# ken,# ken
dog,犬
pieces,件
look,見
ticket,券
shoulder,肩
establish,建
research,研
prefecture,県
frugality,倹
simultaneous,兼
sword,剣
fist,拳
Eaves,軒
Ken,健
Danger,険
between,間
area,圏
Jian,堅
Examination,検
No,嫌
offer,献
silk,絹
Send,遣
Rights,権
constitution,憲
virtuous,賢
Humility,謙
key,鍵
cocoon,繭
Aware,顕
Experience,験
hanging,懸
# there,# kei
older brother,兄
punishment,刑
shape,形
system,系
Beijing,京
diameter,径
stem,茎
Tie,係
Type,型
Deed,契
count,計
Megumi,恵
Kei,啓
Posted,掲
Valley,渓
Temperament,経
firefly,蛍
respect,敬
scene,景
Light,軽
pour,傾
carry,携
Successor,継
pilgrimage,詣
Celebration,慶
awaken,憬
Ji,稽
Rest,憩
police,警
chicken,鶏
Competition,競
# it,# sen
thousand,千
river,川
Immortal,仙
occupy,占
First,先
Xuan,宣
Special,専
spring,泉
shallow,浅
wash,洗
dye,染
fan,扇
plug,栓
Spin,旋
Boat,船
War,戦
fry,煎
envy,羨
gland,腺
After all,詮
Practice,践
Letter,箋
Money,銭
latent,潜
Wire,線
move,遷
select,選
recommend,薦
Fiber,繊
fresh,鮮
# shin,# shin
Heart,心
state,申
stretch,伸
minister,臣
core,芯
Body,身
Spicy,辛
Invasion,侵
letter,信
Tianjin,津
god,神
lips,唇
pregnant,娠
Vibration,振
Dip,浸
real,真
Needle,針
deep,深
gentry,紳
Enter,進
forest,森
Examination,診
Sleep,寝
Caution,慎
new,新
Review,審
shock,震
firewood,薪
parent,親
# kyō,# kyō
fierce,凶
common,共
Call,叫
mad,狂
Beijing,京
Enjoy,享
for,供
Cooperation,協
condition,況
gorge,峡
hold,挟
Narrow,狭
fear,恐
Gong,恭
chest,胸
Threat,脅
powerful,強
teach,教
Township,郷
Temperament,経
territory,境
bridge,橋
prosper,興
Correction,矯
mirror,鏡
Competition,競
ring,響
shock,驚
# chō,# chō
Man,丁
condolences,弔
Agency,庁
trillion,兆
town,町
long,長
Heavy,重
pick,挑
Account,帳
open,張
Carving,彫
Gaze,眺
fishing,釣
top,頂
bird,鳥
morning,朝
stick,貼
overtake,超
intestines,腸
Jump,跳
Signs,徴
ridicule,嘲
tide,潮
Cheng,澄
tune,調
Listening,聴
Punishment,懲
# i,# i
well,井
by,以
Clothes,衣
Bit,位
Enclosure,囲
medical,医
according to,依
Committee,委
easy,易
Wei,威
for,為
fear,畏
Stomach,胃
Lieutenant,尉
different,異
shift,移
wilt,萎
Great,偉
chair,椅
exchange,彙
meaning,意
Violation,違
dimension,維
comfort,慰
Legacy,遺
latitude,緯
# hi,# hi
fire,火
day,日
Compare,比
Skin,皮
ice,氷
lamp,灯
Concubine,妃
no,否
batch,批
he,彼
Phi,披
Fat,肥
No,非
secretion,泌
humble,卑
fly,飛
tired,疲
secret,秘
quilt,被
sad,悲
door,扉
fee,費
monument,碑
stop,罷
avoid,避
# when,# kai
between,介
times,回
Ash,灰
meeting,会
quick,快
Abstinence,戒
change,改
shellfish,貝
Strange,怪
Abduction,拐
regret,悔
sea,海
boundary,界
all,皆
Mechanical,械
picture,絵
open,開
Floor,階
piece,塊
Kai,楷
untie,解
collapse,潰
Break,壊
bosom,懐
Harmony,諧
# shū,# shū
Revenue,収
Prisoner,囚
state,州
Boat,舟
show,秀
week,周
Zong,宗
pickup,拾
autumn,秋
Smelly,臭
build,修
sleeve,袖
Execution,執
end,終
shame,羞
habit,習
week,週
At once,就
crowd,衆
set,集
worry,愁
Remuneration,酬
ugly,醜
kick,蹴
Attack,襲
# is,# tei
Man,丁
body,体
Low,低
Present,呈
Ting,廷
younger brother,弟
Certainly,定
end,底
Arrive,抵
Residence,邸
pavilion,亭
Zhen,貞
emperor,帝
order,訂
garden,庭
逓,逓
stop,停
Detective,偵
embankment,堤
carry,提
Process,程
boat,艇
Conclusion,締
meaning,諦
# is,# ko
Self,己
child,子
Small,小
door,戸
go,去
antiquity,古
Base,拠
call,呼
solid,固
share,股
Tiger,虎
solitary,孤
arc,弧
Therefore,故
withered,枯
indivual,個
Library,庫
pink,粉
lake,湖
hire,雇
boast,誇
drum,鼓
restrain,錮
Gu,顧
# then,# sai
talent,才
Again,再
West,西
disaster,災
wife,妻
Pick,采
Crushed,砕
slaughter,宰
plant,栽
color,彩
Pick,採
done,済
festival,祭
Sai,斎
thin,細
vegetable,菜
most,最
Judgment,裁
debt,債
urge,催
plug,塞
age,歳
load,載
edge,際
# he,# han
opposite,反
Half,半
pan-,氾
offender,犯
sail,帆
General,汎
companion,伴
Judgement,判
slope,坂
Osaka,阪
plate,板
version,版
class,班
bank,畔
General,般
Trafficking,販
spot,斑
meal,飯
move,搬
bother,煩
Award,頒
Fan,範
Traditional,繁
Domain,藩
# check,# hō
direction,方
Bag,包
Fang,芳
state,邦
Feng,奉
precious,宝
hug,抱
put,放
Law,法
Bubble,泡
seal up,封
cell,胞
salary,俸
Imitation,倣
peak,峰
gun,砲
collapse,崩
visit,訪
Newspaper,報
bee,蜂
Yutaka,豊
full,飽
praise,褒
seam,縫
# bō,# bō
Death,亡
Fatigue,乏
busy,忙
delusion,妄
Fang,坊
harm,妨
forget,忘
Defend,防
house,房
Fat,肪
certain,某
Risk,冒
dissection,剖
Spinning,紡
see,望
Nearby,傍
cap,帽
Great,棒
trade,貿
appearance,貌
Violence,暴
Swelling,膨
seek,謀
# kyū,# kyū
Nine,九
Long,久
and,及
bow,弓
hill,丘
Old,旧
stop,休
suck,吸
rotten,朽
mortar,臼
beg,求
Research,究
Cry,泣
Urgent,急
class,級
correct,糾
palace,宮
save,救
ball,球
Give,給
Smell,嗅
poverty,窮
# this,# tai
big,大
too,太
generation,代
tower,台
versus,対
body,体
Resistance,耐
treat,待
lazy,怠
fetal,胎
retreat,退
band,帯
Thai,泰
heap,堆
bag,袋
catch,逮
for,替
loan,貸
Team,隊
stagnation,滞
state,態
Wear,戴
# was,# fu
No,不
husband,夫
father,父
With,付
cloth,布
help,扶
Prefecture,府
fear,怖
Attachment,附
Obituary,訃
burden,負
go,赴
float,浮
woman,婦
symbol,符
rich,富
general,普
Corruption,腐
apply,敷
skin,膚
Fu,賦
spectrum,譜
# yō,# yō
young,幼
use,用
sheep,羊
demon,妖
foreign,洋
want,要
Allow,容
mediocre,庸
Yang,揚
Shake,揺
leaf,葉
Positive,陽
dissolve,溶
waist,腰
Mr.,様
ulcer,瘍
Dance,踊
kiln,窯
keep,養
Hold,擁
Noh,謡
Yao,曜
# jō,# jō
superior,上
height,丈
joke,冗
strip,条
Condition,状
Certainly,定
Ride,乗
city,城
Clean,浄
Surplus,剰
often,常
Affection,情
field,場
tatami,畳
Steam,蒸
rope,縄
Land,壌
Miss,嬢
lock,錠
Yori,譲
Brewing,醸
# from the,# ji
Show,示
Character,字
Temple,寺
Second-rate,次
ear,耳
since,自
land,地
Similar,似
child,児
case,事
samurai,侍
rule,治
hold,持
hour,時
Nourish,滋
Kindness,慈
Resignation,辞
road,路
magnetic,磁
feed,餌
Seal,璽
# yū,# yū
evening,夕
friend,友
right,右
Depend on,由
have,有
Courage,勇
quiet,幽
Yu,悠
mail,郵
surge,湧
still,猶
Yutaka,裕
tour,遊
male,雄
lure,誘
worry,憂
melt,融
excellent,優
# stiff,# kaku
each,各
horn,角
painting,画
Expansion,拡
leather,革
Customer,客
grid,格
nuclear,核
shell,殻
Guo,郭
Awakening,覚
Comparison,較
Separation,隔
Pavilion,閣
Yes,確
Gain,獲
scare,嚇
Gain,穫
# seki,# seki
evening,夕
rebuke,斥
stone,石
red,赤
long ago,昔
Analysis,析
seat,席
ridge,脊
Only,隻
Regret,惜
Qi,戚
responsibility,責
Traces,跡
Seki,関
product,積
performance,績
membership,籍
# in,# en
circle,円
Extension,延
along,沿
inflammation,炎
blame,怨
Banquet,宴
Yuan,媛
aid,援
garden,園
cigarette,煙
monkey,猿
Far,遠
lead,鉛
salt,塩
play,演
edge,縁
gloss,艶
# ryō,# ryō
Got it,了
Both,両
good,良
Fee,料
cold,涼
hunting,猟
Mausoleum,陵
quantity,量
fishing,漁
colleagues,僚
collar,領
dormitory,寮
spirits,霊
Treatment,療
Got it,瞭
grain,糧
# kin,# kin
towel,巾
catty,斤
now,今
all,均
close,近
gold,金
bacteria,菌
Diligence,勤
Qin,琴
logic,筋
only,僅
ban,禁
tight,緊
Brocade,錦
Caution,謹
collar,襟
# spend,# chi
thousand,千
Blood,血
land,地
Pool,池
rule,治
Know,知
milk,乳
value,値
shame,恥
To,致
Slow,遅
idiot,痴
Young,稚
Place,置
To,緻
# of,# ō
king,王
concave,凹
Central,央
Response,応
Past,往
bet,押
prosperous,旺
Europe,欧
Beat,殴
Emperor,皇
cherry blossoms,桜
Weng,翁
yellow,黄
Oku,奥
beside,横
# to,# to
ten,十
soil,土
door,戸
fight,斗
vomit,吐
figure,図
jealous,妬
only,徒
way,途
All,都
Ferry,渡
Deng,登
Paint,塗
bet,賭
# tan,# tan
Dan,丹
dawn,旦
burden,担
single,単
charcoal,炭
Bile,胆
Exploration,探
light,淡
short,短
sigh,嘆
end,端
bloom,綻
birth,誕
Forging,鍛
# chū,# chū
middle,中
Naka,仲
insect,虫
Oki,沖
Space,宙
Loyalty,忠
smoke,抽
Note,注
noon,昼
pillar,柱
Zhong,衷
shochu,酎
Casting,鋳
stationed,駐
# in,# in
lead,引
print,印
because,因
pharynx,咽
marriage,姻
sound,音
member,員
hospital,院
kinky,淫
Negative,陰
drink,飲
Hidden,隠
rhyme,韻
# if,# kon
now,今
Sleepy,困
gold,金
Kun,昆
hatred,恨
root,根
marriage,婚
mix,混
mark,痕
navy blue,紺
soul,魂
Reclamation,墾
Friendly,懇
# that's it,# shu
hand,手
host,主
Guard,守
Zhu,朱
Pick,取
Hunting,狩
head,首
special,殊
beads,珠
liquor,酒
swell,腫
kind,種
interest,趣
# drink,# sha
Write,写
Company,社
car,車
house,舎
Writer,者
sand,砂
shoot,射
Abandon,捨
amnesty,赦
incline,斜
cook,煮
cover,遮
Thanks,謝
# hey,# hei
C,丙
flat,平
soldiers,兵
and,併
and,並
Pattern,柄
Majesty,陛
close,閉
wall,塀
currency,幣
Disadvantages,弊
shield,蔽
cake,餅
# so,# so
spy,狙
resistance,阻
Ancestor,祖
rent,租
white,素
measures,措
thick,粗
Group,組
sparse,疎
Litigation,訴
Plastic,塑
Back,遡
Foundation,礎
# yu,# jū
ten,十
juice,汁
charge,充
live,住
pickup,拾
soft,柔
Heavy,重
Follow,従
Shibu,渋
gun,銃
beast,獣
vertical,縦
# san,# san
three,三
Mountain,山
Ginseng,参
pier,桟
silkworm,蚕
miserable,惨
Production,産
umbrella,傘
Scattered,散
Calculate,算
acid,酸
Praise,賛
# gen,# gen
Yuan,元
illusion,幻
mysterious,玄
Word,言
string,弦
limit,限
Original,原
now,現
side,舷
reduce,減
source,源
Strict,厳
# go,# go
five,五
mutual,互
noon,午
Wu,呉
back,後
Entertainment,娯
Enlightenment,悟
O,御
Go,碁
word,語
error,誤
Protect,護
# on,# sui
water,水
blow,吹
Hanging,垂
Cooking,炊
handsome,帥
Stylish,粋
decline,衰
push,推
drunk,酔
Then,遂
sleep,睡
ear,穂
# king,# rei
make,令
Rei,礼
cold,冷
Encourage,励
Return,戻
example,例
bell,鈴
zero,零
spirits,霊
slave,隷
age,齢
Korea,麗
# feeling,# jin
people,人
blade,刃
Benevolence,仁
Do,尽
fast,迅
minister,臣
god,神
very,甚
Formation,陣
Search,尋
kidney,腎
# arrow,# setsu
cut,切
fold,折
brake,刹
humble,拙
steal,窃
catch,接
set up,設
snow,雪
Set,摂
Festival,節
theory,説
# subject,# gai
outside,外
impeach,劾
Harmful,害
cliff,崖
Ya,涯
city,街
generous,慨
build,蓋
Should,該
Overview,概
skeleton,骸
# of,# sa
left,左
Zuo,佐
sand,沙
do,作
Inspection,査
sand,砂
Tea,茶
instigate,唆
Difference,差
Fraud,詐
Lock,鎖
# two,# hai
Ash,灰
